date_sold,price,suburb,city_name,state,lat,lon,bedrooms,property_type
10/03/2020 0:00,475000,Banks,Canberra,ACT,-35.47126082,149.0916826,3,house
10/10/2019 0:00,790000,Gordon,Canberra,ACT,-35.47120313,149.0856422,5,house
7/09/2019 0:00,558000,Banks,Canberra,ACT,-35.47115558,149.095669,4,house
21/10/2019 0:00,980000,Banks,Canberra,ACT,-35.471127,149.106075,5,house
8/12/2019 0:00,550000,Banks,Canberra,ACT,-35.471082,149.095896,4,townhouse
22/09/2018 0:00,530000,Banks,Canberra,ACT,-35.471078,149.094545,4,townhouse
18/12/2019 0:00,530000,Gordon,Canberra,ACT,-35.471013,149.086858,3,house
24/06/2020 0:00,445000,Gordon,Canberra,ACT,-35.470974,149.089264,3,house
6/10/2018 0:00,520000,Banks,Canberra,ACT,-35.47095589,149.0931513,3,house
27/04/2019 0:00,446000,Banks,Canberra,ACT,-35.470875,149.093011,3,house
26/02/2019 0:00,540000,Banks,Canberra,ACT,-35.470847,149.101535,4,house
13/03/2019 0:00,530000,Gordon,Canberra,ACT,-35.470844,149.09019,3,house
12/08/2019 0:00,498000,Banks,Canberra,ACT,-35.470674,149.094632,3,townhouse
19/10/2019 0:00,520000,Banks,Canberra,ACT,-35.470674,149.094632,3,townhouse
30/11/2019 0:00,387500,Banks,Canberra,ACT,-35.470477,149.100785,3,townhouse
24/04/2019 0:00,585000,Gordon,Canberra,ACT,-35.47045465,149.0872208,4,house
29/03/2019 0:00,452500,Banks,Canberra,ACT,-35.470395,149.098384,3,house
26/10/2019 0:00,330000,Banks,Canberra,ACT,-35.470345,149.099794,2,house
5/12/2018 0:00,490000,Gordon,Canberra,ACT,-35.47023234,149.0901683,3,house
29/03/2019 0:00,565000,Gordon,Canberra,ACT,-35.47021454,149.0865093,3,house
23/03/2019 0:00,450000,Banks,Canberra,ACT,-35.469687,149.100649,3,house
17/08/2019 0:00,480000,Gordon,Canberra,ACT,-35.46968569,149.0894599,3,house
2/09/2019 0:00,624000,Banks,Canberra,ACT,-35.469516,149.101617,4,house
3/04/2020 0:00,540000,Gordon,Canberra,ACT,-35.469495,149.085391,3,house
25/05/2019 0:00,515000,Banks,Canberra,ACT,-35.46946043,149.0956912,4,house
31/10/2019 0:00,940000,Conder,Canberra,ACT,-35.46944632,149.1099501,5,house
5/04/2019 0:00,396000,Banks,Canberra,ACT,-35.46929,149.100621,2,house
18/06/2019 0:00,520000,Banks,Canberra,ACT,-35.46926842,149.0999948,3,house
22/01/2019 0:00,515000,Banks,Canberra,ACT,-35.46924273,149.1009528,4,house
25/06/2019 0:00,890000,Conder,Canberra,ACT,-35.46923946,149.1099227,4,house
23/03/2020 0:00,602500,Banks,Canberra,ACT,-35.46908355,149.1038799,3,house
16/11/2018 0:00,735000,Banks,Canberra,ACT,-35.4690813,149.1071085,4,house
29/03/2019 0:00,405000,Gordon,Canberra,ACT,-35.46896225,149.0901631,3,townhouse
7/11/2019 0:00,406000,Gordon,Canberra,ACT,-35.46896225,149.0901631,3,townhouse
8/10/2019 0:00,425000,Gordon,Canberra,ACT,-35.46896225,149.0901631,3,house
9/06/2020 0:00,400000,Gordon,Canberra,ACT,-35.468953,149.088247,3,townhouse
2/12/2019 0:00,460000,Banks,Canberra,ACT,-35.468952,149.10625,3,townhouse
20/10/2018 0:00,465000,Banks,Canberra,ACT,-35.468952,149.10625,3,townhouse
10/11/2018 0:00,470000,Banks,Canberra,ACT,-35.468952,149.10625,3,townhouse
10/06/2020 0:00,600000,Banks,Canberra,ACT,-35.468952,149.104451,4,house
7/11/2019 0:00,647000,Banks,Canberra,ACT,-35.46889452,149.1038639,5,house
10/10/2019 0:00,915000,Conder,Canberra,ACT,-35.46883888,149.1086009,5,house
11/12/2019 0:00,630000,Banks,Canberra,ACT,-35.46881975,149.0967655,3,house
26/10/2019 0:00,506000,Banks,Canberra,ACT,-35.46878969,149.106305,3,house
7/02/2020 0:00,555000,Banks,Canberra,ACT,-35.468783,149.10117,3,house
10/09/2018 0:00,705000,Banks,Canberra,ACT,-35.46854136,149.1044718,4,house
9/09/2019 0:00,500000,Banks,Canberra,ACT,-35.468532,149.097868,3,house
12/08/2019 0:00,490000,Banks,Canberra,ACT,-35.468462,149.099062,3,house
